ticker,name,category,score,price,year_high,year_low,ma50,ma200,off_high_pct,above_low_pct,chg_5d,chg_1m,chg_3m,chg_6m,chg_1y,vol_ratio,as_of,sector,industry,exchange
KMX,CarMax Inc,A_VCP待突破,74.7,62.13,62.13,33.44,55.64,45.06,0.0,85.8,3.7,6.4,68.2,47.1,6.3,0.59,2026-08-21,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,nyse
CDP,COPT Defense Properties Common Shares of,A_VCP待突破,74.5,37.27,38.35,27.37,36.58,32.29,2.8,36.2,0.9,-0.6,17.5,17.4,35.1,0.67,2026-08-21,Real Estate,Real Estate Investment Trusts,nyse
AMN,AMN Healthcare Services Inc,A_VCP待突破,74.4,34.46,36.6,15.12,33.24,23.31,5.8,127.9,-0.1,4.2,20.4,110.3,77.4,0.79,2026-08-21,Consumer Discretionary,Professional Services,nyse
BJRI,BJ's Restaurants Inc. Common Stock,A_VCP待突破,74.4,66.76,74.26,30.18,62.91,45.53,10.1,121.2,-1.8,2.6,58.7,58.3,91.7,0.78,2026-08-21,Consumer Discretionary,Restaurants,nasdaq
EOG,EOG Resources Inc. Common Stock,A_VCP待突破,74.4,153.05,153.05,103.87,138.99,126.15,0.0,47.3,7.3,5.2,9.1,27.8,30.0,0.74,2026-08-21,Energy,Oil & Gas Production,nyse
ABBV,AbbVie Inc. Common Stock,A_VCP待突破,74.3,264.96,265.97,197.19,247.99,226.7,0.4,34.4,6.2,3.1,25.9,13.8,28.3,0.67,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nyse
TRGP,Targa Resources Inc. Common Stock,A_VCP待突破,73.9,299.1,302.25,150.94,272.51,230.4,1.0,98.2,8.5,4.7,10.0,33.4,85.7,1.03,2026-08-21,Utilities,Natural Gas Distribution,nyse
VOYA,Voya Financial Inc. Common Stock,A_VCP待突破,73.9,97.76,101.52,65.51,96.69,80.15,3.7,49.2,-3.7,1.0,20.0,31.4,32.3,0.78,2026-08-21,Finance,Life Insurance,nyse
KNSA,Kiniksa Pharmaceuticals International pl,B_上升結構,73.9,79.03,80.92,32.74,67.03,50.73,2.3,141.4,3.0,25.3,39.9,74.2,134.4,0.54,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
WKC,World Kinect Corporation Common Stock,B_上升結構,73.9,35.95,40.25,22.61,35.44,27.96,10.7,59.0,-0.4,-0.9,26.4,35.0,40.4,0.69,2026-08-21,Energy,Oil Refining/Marketing,nyse
CCBG,Capital City Bank Group Common Stock,A_VCP待突破,73.8,51.33,52.84,38.92,50.27,45.35,2.9,31.9,-2.2,0.7,12.9,19.6,26.3,0.65,2026-08-21,Finance,Major Banks,nasdaq
CXW,CoreCivic Inc. Common Stock,B_上升結構,73.8,34.01,34.01,16.13,30.89,22.27,0.0,110.8,3.6,7.5,64.0,82.0,64.5,1.26,2026-08-21,Real Estate,Real Estate Investment Trusts,nyse
REX,REX American Resources Corporation,C_基底修復中,73.8,44.67,50.06,25.64,44.59,40.2,10.8,74.3,0.2,-1.5,-10.8,35.0,58.6,0.8,2026-08-21,Industrials,Major Chemicals,nyse
